STATE_CODE_001_x,STRUCTURE_NUMBER_008,RECORD_TYPE_005A_x,ROUTE_PREFIX_005B_x,SERVICE_LEVEL_005C_x,ROUTE_NUMBER_005D_x,DIRECTION_005E_x,HIGHWAY_DISTRICT_002_x,COUNTY_CODE_003_x,PLACE_CODE_004_x,FEATURES_DESC_006A_x,CRITICAL_FACILITY_006B_x,FACILITY_CARRIED_007_x,LOCATION_009_x,MIN_VERT_CLR_010_x,KILOPOINT_011_x,BASE_HWY_NETWORK_012_x,LRS_INV_ROUTE_013A_x,SUBROUTE_NO_013B_x,LAT_016_x,LONG_017_x,DETOUR_KILOS_019_x,TOLL_020_x,MAINTENANCE_021_x,OWNER_022_x,FUNCTIONAL_CLASS_026_x,YEAR_BUILT_027_x,TRAFFIC_LANES_ON_028A_x,TRAFFIC_LANES_UND_028B_x,ADT_029_x,YEAR_ADT_030_x,DESIGN_LOAD_031_x,APPR_WIDTH_MT_032_x,MEDIAN_CODE_033_x,DEGREES_SKEW_034_x,STRUCTURE_FLARED_035_x,RAILINGS_036A_x,TRANSITIONS_036B_x,APPR_RAIL_036C_x,APPR_RAIL_END_036D_x,HISTORY_037_x,NAVIGATION_038_x,NAV_VERT_CLR_MT_039_x,NAV_HORR_CLR_MT_040_x,OPEN_CLOSED_POSTED_041_x,SERVICE_ON_042A_x,SERVICE_UND_042B_x,STRUCTURE_KIND_043A_x,STRUCTURE_TYPE_043B_x,APPR_KIND_044A_x,APPR_TYPE_044B_x,MAIN_UNIT_SPANS_045_x,APPR_SPANS_046_x,HORR_CLR_MT_047_x,MAX_SPAN_LEN_MT_048_x,STRUCTURE_LEN_MT_049_x,LEFT_CURB_MT_050A_x,RIGHT_CURB_MT_050B_x,ROADWAY_WIDTH_MT_051_x,DECK_WIDTH_MT_052_x,VERT_CLR_OVER_MT_053_x,VERT_CLR_UND_REF_054A_x,VERT_CLR_UND_054B_x,LAT_UND_REF_055A_x,LAT_UND_MT_055B_x,LEFT_LAT_UND_MT_056_x,DECK_COND_058_x,SUPERSTRUCTURE_COND_059_x,SUBSTRUCTURE_COND_060_x,CHANNEL_COND_061_x,CULVERT_COND_062_x,OPR_RATING_METH_063_x,OPERATING_RATING_064_x,INV_RATING_METH_065_x,INVENTORY_RATING_066_x,STRUCTURAL_EVAL_067_x,DECK_GEOMETRY_EVAL_068_x,UNDCLRENCE_EVAL_069_x,POSTING_EVAL_070_x,WATERWAY_EVAL_071_x,APPR_ROAD_EVAL_072_x,WORK_PROPOSED_075A_x,WORK_DONE_BY_075B_x,IMP_LEN_MT_076_x,DATE_OF_INSPECT_090_x,INSPECT_FREQ_MONTHS_091_x,FRACTURE_092A_x,UNDWATER_LOOK_SEE_092B_x,SPEC_INSPECT_092C_x,FRACTURE_LAST_DATE_093A_x,UNDWATER_LAST_DATE_093B_x,SPEC_LAST_DATE_093C_x,BRIDGE_IMP_COST_094_x,ROADWAY_IMP_COST_095_x,TOTAL_IMP_COST_096_x,YEAR_OF_IMP_097_x,OTHER_STATE_CODE_098A_x,OTHER_STATE_PCNT_098B_x,OTHR_STATE_STRUC_NO_099_x,STRAHNET_HIGHWAY_100_x,PARALLEL_STRUCTURE_101_x,TRAFFIC_DIRECTION_102_x,TEMP_STRUCTURE_103_x,HIGHWAY_SYSTEM_104_x,FEDERAL_LANDS_105_x,YEAR_RECONSTRUCTED_106_x,DECK_STRUCTURE_TYPE_107_x,SURFACE_TYPE_108A_x,MEMBRANE_TYPE_108B_x,DECK_PROTECTION_108C_x,PERCENT_ADT_TRUCK_109_x,NATIONAL_NETWORK_110_x,PIER_PROTECTION_111_x,BRIDGE_LEN_IND_112_x,SCOUR_CRITICAL_113_x,FUTURE_ADT_114_x,YEAR_OF_FUTURE_ADT_115_x,MIN_NAV_CLR_MT_116_x,FED_AGENCY_x,SUBMITTED_BY_x,BRIDGE_CONDITION_x,LOWEST_RATING_x,DECK_AREA_x,STATE_CODE_001_y,RECORD_TYPE_005A_y,ROUTE_PREFIX_005B_y,SERVICE_LEVEL_005C_y,ROUTE_NUMBER_005D_y,DIRECTION_005E_y,HIGHWAY_DISTRICT_002_y,COUNTY_CODE_003_y,PLACE_CODE_004_y,FEATURES_DESC_006A_y,CRITICAL_FACILITY_006B_y,FACILITY_CARRIED_007_y,LOCATION_009_y,MIN_VERT_CLR_010_y,KILOPOINT_011_y,BASE_HWY_NETWORK_012_y,LRS_INV_ROUTE_013A_y,SUBROUTE_NO_013B_y,LAT_016_y,LONG_017_y,DETOUR_KILOS_019_y,TOLL_020_y,MAINTENANCE_021_y,OWNER_022_y,FUNCTIONAL_CLASS_026_y,YEAR_BUILT_027_y,TRAFFIC_LANES_ON_028A_y,TRAFFIC_LANES_UND_028B_y,ADT_029_y,YEAR_ADT_030_y,DESIGN_LOAD_031_y,APPR_WIDTH_MT_032_y,MEDIAN_CODE_033_y,DEGREES_SKEW_034_y,STRUCTURE_FLARED_035_y,RAILINGS_036A_y,TRANSITIONS_036B_y,APPR_RAIL_036C_y,APPR_RAIL_END_036D_y,HISTORY_037_y,NAVIGATION_038_y,NAV_VERT_CLR_MT_039_y,NAV_HORR_CLR_MT_040_y,OPEN_CLOSED_POSTED_041_y,SERVICE_ON_042A_y,SERVICE_UND_042B_y,STRUCTURE_KIND_043A_y,STRUCTURE_TYPE_043B_y,APPR_KIND_044A_y,APPR_TYPE_044B_y,MAIN_UNIT_SPANS_045_y,APPR_SPANS_046_y,HORR_CLR_MT_047_y,MAX_SPAN_LEN_MT_048_y,STRUCTURE_LEN_MT_049_y,LEFT_CURB_MT_050A_y,RIGHT_CURB_MT_050B_y,ROADWAY_WIDTH_MT_051_y,DECK_WIDTH_MT_052_y,VERT_CLR_OVER_MT_053_y,VERT_CLR_UND_REF_054A_y,VERT_CLR_UND_054B_y,LAT_UND_REF_055A_y,LAT_UND_MT_055B_y,LEFT_LAT_UND_MT_056_y,DECK_COND_058_y,SUPERSTRUCTURE_COND_059_y,SUBSTRUCTURE_COND_060_y,CHANNEL_COND_061_y,CULVERT_COND_062_y,OPR_RATING_METH_063_y,OPERATING_RATING_064_y,INV_RATING_METH_065_y,INVENTORY_RATING_066_y,STRUCTURAL_EVAL_067_y,DECK_GEOMETRY_EVAL_068_y,UNDCLRENCE_EVAL_069_y,POSTING_EVAL_070_y,WATERWAY_EVAL_071_y,APPR_ROAD_EVAL_072_y,WORK_PROPOSED_075A_y,WORK_DONE_BY_075B_y,IMP_LEN_MT_076_y,DATE_OF_INSPECT_090_y,INSPECT_FREQ_MONTHS_091_y,FRACTURE_092A_y,UNDWATER_LOOK_SEE_092B_y,SPEC_INSPECT_092C_y,FRACTURE_LAST_DATE_093A_y,UNDWATER_LAST_DATE_093B_y,SPEC_LAST_DATE_093C_y,BRIDGE_IMP_COST_094_y,ROADWAY_IMP_COST_095_y,TOTAL_IMP_COST_096_y,YEAR_OF_IMP_097_y,OTHER_STATE_CODE_098A_y,OTHER_STATE_PCNT_098B_y,OTHR_STATE_STRUC_NO_099_y,STRAHNET_HIGHWAY_100_y,PARALLEL_STRUCTURE_101_y,TRAFFIC_DIRECTION_102_y,TEMP_STRUCTURE_103_y,HIGHWAY_SYSTEM_104_y,FEDERAL_LANDS_105_y,YEAR_RECONSTRUCTED_106_y,DECK_STRUCTURE_TYPE_107_y,SURFACE_TYPE_108A_y,MEMBRANE_TYPE_108B_y,DECK_PROTECTION_108C_y,PERCENT_ADT_TRUCK_109_y,NATIONAL_NETWORK_110_y,PIER_PROTECTION_111_y,BRIDGE_LEN_IND_112_y,SCOUR_CRITICAL_113_y,FUTURE_ADT_114_y,YEAR_OF_FUTURE_ADT_115_y,MIN_NAV_CLR_MT_116_y,FED_AGENCY_y,SUBMITTED_BY_y,BRIDGE_CONDITION_y,LOWEST_RATING_y,DECK_AREA_y,_merge,LAT_016_dd,LONG_017_dd,DECK_COND_058_Category,CHANNEL_COND_061_Category,CULVERT_COND_062_Category
48,000021594-62610,1,6,0,00000,0,2,203,0,'UNNAMED DRAINAGE',,'AVENUE P','1.5 MI E of HQ',30.48,3.219,0.0,,,32404980,94084500,6,3,63,63,9,2018,2,0,0,2021,A,7.3,0,0,0,1,1,1,1,5,0,0.0,0.0,A,1,5,5,2,0,0,1,0,7.3,14.9,16.2,0.0,0.0,7.4,7.9,32.69,N,0.0,N,0.0,0.0,8,8,8,7,N,3,57.2,3,39.0,8,6,N,5,8,8,,,,1121,24,N  ,N  ,N  ,,,,,,,,,,               ,0,N,2,,0,0,0.0,1,1,0,0,0.0,0,,Y,8,15,2041,,Y,63,G,8,127.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,32.680499999999995,-94.14583333333334,1,1,1
48,010600AA2130001,1,4,1,02130,0,1,119,0,'BRANCH OF JOHNS CREEK',,'CR 2130','0.4 MI S OF FM 64',99.99,3.541,0.0,,,33221796,95462783,2,3,2,2,9,2022,2,0,40,2010,A,4.6,0,15,0,1,1,1,1,5,0,0.0,0.0,A,1,5,5,1,0,0,1,0,5.6,12.2,12.2,0.0,0.0,7.4,8.0,99.99,N,0.0,N,99.9,0.0,9,9,9,9,N,C,54.4,C,32.7,9,6,N,5,5,8,,,0.0,522,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0,N,2,,0,0,0.0,1,0,0,0,,0,1.0,Y,8,1,1900,,N,48,G,9,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.371655555555556,-95.77439722222222,1,1,1
48,010920004702684,1,2,1,00075,1,1,181,39200,'CENTER ST',,'US 75 NB','0.4 MI S OF SH 56 EB',99.99,40.417,1.0,0000000075,0.0,33374278,96364865,0,3,1,1,12,2022,2,2,55900,2020,A,7.3,0,0,1,1,1,1,1,5,N,0.0,0.0,A,1,1,5,2,0,0,3,0,13.1,25.0,61.6,0.0,0.0,7.3,22.8,99.99,H,5.79,H,12.0,12.0,9,9,8,N,N,C,54.4,A,32.7,8,2,9,5,N,8,,,0.0,622,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,2,L,1,,1,0,0.0,1,0,0,1,16.0,1,,Y,N,86550,2050,,N,48,G,8,1404.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.62855,-96.61351388888889,1,1,1
48,010920004702685,1,2,1,00075,3,1,181,39200,'CENTER ST',,'US 75 SB','0.4 MI S OF SH 56 EB',99.99,40.417,1.0,0000000075,0.0,33374268,96364925,0,3,1,1,12,2022,2,2,55900,2020,A,7.3,0,0,1,1,1,1,1,5,N,0.0,0.0,A,1,1,5,2,0,0,3,0,13.1,25.0,61.6,0.0,0.0,7.3,22.2,99.99,H,5.79,H,12.0,12.0,9,9,8,N,N,C,54.4,C,32.7,8,2,9,5,N,8,,,0.0,622,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,2,R,1,,1,0,0.0,1,0,0,1,16.0,1,,Y,N,1,1900,,N,48,G,8,1367.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.62852222222222,-96.61368055555555,1,1,1
48,010920004702686,1,2,1,00075,1,1,181,39200,'LAMAR; HOUSTON; WASH. ST',,'US 75 NB','2.3 MI S OF US 82',99.99,39.3,1.0,0000000075,0.0,33381648,96365914,0,3,1,1,12,2022,2,2,54500,2020,A,7.3,1,0,0,1,1,1,1,5,N,0.0,0.0,A,1,1,5,2,5,2,20,3,8.3,36.6,759.9,0.0,0.0,26.8,27.4,99.99,H,5.03,H,4.2,4.2,9,9,9,9,N,C,54.4,C,32.7,9,9,9,5,N,8,,,0.0,722,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,2,R,1,,1,0,0.0,1,0,0,1,16.0,1,,Y,N,1,1900,,N,48,G,9,20821.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.63791111111111,-96.61642777777777,1,1,1
48,010920004702687,1,2,1,00075,3,1,181,39200,'LAMAR; HOUSTON; WASH. ST',,'US 75 SB','2.3 MI S OF US 82',99.99,39.083,1.0,0000000075,,33381663,96365976,0,3,1,1,12,2022,2,2,54500,2020,A,7.3,1,0,0,1,1,1,1,5,N,0.0,0.0,A,1,1,5,2,5,2,20,3,7.9,36.7,759.9,0.0,0.0,27.7,28.3,99.99,H,5.43,H,4.1,4.2,9,9,9,N,N,C,54.4,C,32.7,9,9,9,5,N,8,,,0.0,722,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,2,L,1,,1,0,0.0,1,0,0,1,16.0,1,,Y,N,1,1900,,N,48,G,9,21505.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.63795277777778,-96.61659999999999,1,1,1
48,010920004702692,1,2,7,00075,1,1,181,39200,'WASHINGTON ST',,'US 75 NB ENT RAMP','2.3 MI S OF US 82',99.99,39.178,0.0,,,33381895,96365819,0,3,1,1,12,2022,2,2,7050,2020,A,7.3,0,0,0,1,1,1,1,5,N,0.0,0.0,A,1,1,5,2,0,0,5,0,30.5,32.6,163.0,0.0,0.0,7.9,8.5,99.99,N,99.99,N,99.9,99.9,9,9,9,9,N,C,54.4,C,32.7,9,2,N,5,N,8,,,0.0,722,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,2,N,1,,1,0,0.0,1,0,0,1,,1,,Y,N,1,1900,,N,48,G,9,1385.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.638597222222224,-96.61616388888888,1,1,1
48,010920004702693,1,2,7,00075,3,1,181,39200,'WASHINGTON ST',,'US 75 SB EXIT RAMP','2.2 MI S OF US 82',99.99,39.094,0.0,,,33382414,96365805,0,3,1,1,12,2022,2,2,8450,2020,A,7.3,0,0,0,1,1,1,1,5,N,0.0,0.0,A,1,1,5,2,0,0,6,0,30.5,31.9,179.4,0.0,0.0,7.9,8.5,99.99,N,0.0,N,99.9,99.9,9,9,7,7,N,C,54.4,C,32.7,7,2,N,5,N,8,,,0.0,722,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0,N,1,,1,0,0.0,1,0,0,1,,1,,Y,N,1,1900,,N,48,G,7,1524.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.64003888888889,-96.616125,1,1,1
48,010920AA0339004,1,4,1,00000,0,1,181,0,'BRANCH OF PILOT GROVE CK',,'YELLOW BRIDGE ROAD','0.85 MI W OF DURHAM RD',99.99,1.336,0.0,,,33242426,96262411,5,3,2,2,9,2021,2,0,88,2020,A,5.5,0,0,0,0,N,1,1,5,0,0.0,0.0,A,1,5,5,2,0,0,1,0,7.3,22.9,22.9,0.0,0.0,7.3,7.9,99.99,N,0.0,N,99.9,0.0,8,8,7,8,N,C,54.4,C,32.7,7,6,N,5,9,8,,,0.0,522,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,2.0,               ,0,N,2,,0,0,0.0,1,0,0,1,0.0,0,,Y,8,110,2040,,N,48,G,7,180.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.40673888888889,-96.44003055555557,1,1,1
48,011130AA4712001,1,4,1,04712,0,1,223,0,'Trib of Crooks Creek',,'CR 4712','1.8 Mi E of FM 2653',99.99,1.287,0.0,,,33093067,95431519,8,3,2,2,9,2022,2,0,41,2020,A,3.7,0,15,0,1,1,1,1,5,0,0.0,0.0,A,1,5,5,2,0,0,1,0,7.3,12.2,12.2,0.0,0.0,7.3,7.9,99.99,N,0.0,N,99.9,99.9,8,9,9,7,N,C,54.4,C,32.7,9,6,N,5,7,6,,,0.0,622,24,N  ,N  ,N  ,,,,0.0,0.0,0.0,,,,               ,0,N,2,,0,0,0.0,1,1,0,0,32.0,0,,Y,6,41,2040,30.5,N,48,G,8,96.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,33.158519444444444,-95.72088611111111,1,1,1
